Make,Model,Seats,Fuselage Width,Fuselage Length,Footprint,Skin Surface Area (sq ft),Maintenance Wash Hours,Decon Paint Hours,One Step Polish Hours,Fly Shiny Static Guard Wax Hours,Fly Shiny Air Gaurd Spray Ceramic Hours,Fly Shiny Pro Ceramic Coating Hours,Clean/Condition Leather Hours,Extract Carpets Hours,Bronze Package Hours,Silver Package Hours,Gold Package Hours,Platinum Package Hours,Shiny Jet Package Hours
Beechcraft,Bonanza Debonair/BE33,5,,25.5,837.165,e780,2.50,2.89,6.67,4.67,,13.89,1.67,1.11,,10.00,,,
Beechcraft,Bonanza V35,5,,26.42,885.07,e810,2.50,2.89,7.22,4.94,,14.44,1.67,1.11,,10.00,,,
Beechcraft,Bonanza A36,5,,27.5,921.25,e850,2.50,2.89,7.22,5.17,,15.00,1.67,1.11,,10.56,,,
Beechcraft,Baron 55,5,,28,1059.24,e980,3.33,3.83,8.33,6.11,,17.22,1.67,1.11,,17.22,,,
Beechcraft,Baron 58,5,,29.83,1128.4689,"e1,050",3.33,3.83,8.89,6.67,,18.33,1.67,1.11,,17.78,,,
Beechcraft ,King Air 90,5,,38.83,1783.0736,"e1,680",5.00,5.78,23.33,10.00,,28.89,1.67,1.67,,23.89,,,
Beechcraft ,King Air 100,5,,39.92,1833.1264,"e1,720",5.00,5.78,23.89,10.56,,29.44,1.67,1.67,,24.44,,,
Beechcraft,King Air 260/250/200,5,,43.1,2461.441,"e2,250",6.67,7.67,31.67,13.89,,39.44,1.67,1.67,,30.56,,,
Beechcraft,King Air 360/350/300,5,,46.8,2672.748,"e2,480",7.50,8.67,34.44,15.00,,42.78,1.67,1.67,,32.22,,,
Beechcraft,Premier 1/200,6,,46,2051.6,"e1,900",5.83,6.72,26.67,11.67,,32.78,2.00,1.67,,26.67,,,
Beechcraft,Beechjet 400,5,,48.33,2098.4886,"e1,950",5.83,6.72,27.22,11.67,,33.89,1.67,1.67,,26.11,,,
Bell,47,2,4.9,31.6,154.84,e820,3.92,3.17,7.78,2.17,5.17,13.76,0.56,0.89,,,,,
Bell,,4,4.9,32.4,158.76,e860,4.00,3.22,7.94,2.22,5.33,14.11,1.11,0.94,,,,,
Bell,,11,7.9,41.7,329.43,"e2,800",8.25,6.61,16.50,4.61,11.00,29.28,3.06,1.17,,,,,
Bell,206,7,6.9,32.5,224.25,"e1,350",5.67,4.56,11.22,3.17,7.50,19.93,1.94,0.94,,,,,
Bell,210,15,7.9,41.7,329.43,e760,8.25,6.61,16.50,4.61,11.00,29.28,4.17,1.17,,,,,
Bell,212,15,7.9,57.2,451.88,"e3,400",11.33,9.11,22.61,6.28,15.11,40.17,4.17,1.61,,,,,
Bell,214,2,7.9,48,379.2,"e3,000",9.50,7.61,19.00,5.28,12.67,33.71,0.56,1.33,,,,,
Bell,,19,8.5,49.3,419.05,"e3,300",10.50,8.44,21.00,5.83,14.00,37.25,5.28,1.39,,,,,
Bell,,10,11.3,32.9,371.77,"e2,900",9.33,7.50,18.61,5.17,12.44,33.05,2.78,0.94,,,,,
Bell,407,7,7.3,34.7,253.31,"e1,600",6.33,5.11,12.67,3.56,8.44,22.52,1.94,1.00,,,,,
Bell,412,15,9.4,43,404.2,"e3,600",10.17,8.17,20.22,5.67,13.50,35.93,4.17,1.22,,,,,
Bell,427,9,7.8,37.5,292.5,"e1,900",7.33,5.89,14.67,4.11,9.78,26.00,2.50,1.06,,,,,
Bell,,8,8.8,38.5,338.8,"e2,200",8.50,6.83,16.94,4.72,11.33,30.12,2.22,1.11,,,,,
